nome;idade;cpf;rg;data_nasc;sexo;signo;mae;pai;email;senha;cep;endereco;numero;bairro;cidade;estado;telefone_fixo;celular;altura;peso;tipo_sanguineo;cor
Julio Eduardo Andre Freitas;43;377.893.170-91;32.586.385-4;01/10/1981;Masculino;Libra;Isabela Caroline Marina;Fabio Tiago Tomas Freitas;julio_eduardo_freitas@schon.com.br;nyujqrrrCx;25245-810;Estrada Rio Douro;417;Xerem;Duque de Caxias;RJ;(21) 2586-1603;(21) 99688-4035;1,72;109;B-;roxo
Julio Murilo Osvaldo Nogueira;67;995.331.800-05;15.964.168-8;15/07/1957;Masculino;Cancer;Sabrina Camila Livia;Thomas Diogo Cesar Nogueira;juliomurilonogueira@valeparaibano.com.br;qqOw1OW9S3;65047-495;Loteamento Passarada;774;Radional;Sao Luis;MA;(98) 2939-5042;(98) 99344-5759;1,88;96;AB+;preto
Kamilly Hadassa Mariah Freitas;24;832.807.541-51;14.640.033-1;20/04/2000;Feminino;aries;Fabiana Aurora Laura;Luan Fabio Freitas;kamilly.hadassa.freitas@ig.com;ijxLnn9KR2;64018-115;Favela Sao Pedro;760;Sao Pedro;Teresina;PI;(86) 2642-4205;(86) 98198-1341;1,77;80;A+;amarelo
Kaue Alexandre Breno Melo;18;998.195.734-83;22.204.249-7;13/01/2006;Masculino;Capricornio;Eduarda Sophia Hadassa;Martin Anthony Melo;kaue.alexandre.melo@grupoaerius.com.br;YcQFbsSDBs;45089-300;Rua Vinte;472;Distrito Industrial;Vitoria da Conquista;BA;(77) 3779-9751;(77) 99340-0653;1,96;68;B-;verde
Kevin Ricardo Thales Costa;68;972.661.080-04;12.792.735-9;17/06/1956;Masculino;Gemeos;Larissa Liz;Francisco Raimundo Costa;kevin.ricardo.costa@officetectecnologia.com.br;m0tjHmlwE1;71010-340;Quadra QE 12 Bloco D;552;Guara I;Brasilia;DF;(61) 3888-3435;(61) 98974-1627;1,7;96;A+;vermelho
Larissa Aline da Rosa;47;298.460.418-02;21.184.239-4;06/10/1977;Feminino;Libra;Claudia Malu Isabelly;Matheus Benjamin Elias da Rosa;larissaalinedarosa@publifix.com.br;wajHubUdst;69075-400;Rua Flamengo;631;Mauazinho;Manaus;AM;(92) 3890-4847;(92) 98785-1304;1,69;64;B+;vermelho
Lavinia Alice Maite Ribeiro;65;107.462.966-30;10.803.969-9;03/05/1959;Feminino;Touro;Clarice Daiane Helena;Rafael Tiago Ribeiro;lavinia-ribeiro92@comercialrafael.com.br;p8w8UBcMOQ;25916-005;Praca Jose Goncalves Castro;328;Capela (Rio do Ouro);Mage;RJ;(21) 3766-3086;(21) 99530-1163;1,76;75;B-;vermelho
Leandro Murilo Porto;70;618.030.260-06;28.121.778-6;23/01/1954;Masculino;Aquario;Rosangela Aline;Rodrigo Leonardo Roberto Porto;leandro-porto98@lumavale.com.br;rb2Suq9tnE;21820-407;Rua Nova;607;Bangu;Rio de Janeiro;RJ;(21) 2754-6205;(21) 99998-7602;1,96;84;O-;verde
Leonardo Enrico Arthur Ferreira;48;656.098.962-31;43.243.820-8;12/08/1976;Masculino;Leao;Stella Sandra;Ruan Joaquim Manuel Ferreira;leonardo-ferreira87@fluxioneventos.com.br;thQGE2mXaR;58108-077;Rua Canuto;868;Renascer;Cabedelo;PB;(83) 2545-2122;(83) 98153-9049;1,67;61;B-;azul
Leonardo Ian Marcos Vinicius Pires;75;642.463.696-08;31.634.534-9;05/07/1949;Masculino;Cancer;Josefa Aline;Miguel Kaique Pires;leonardo_ian_pires@andritz.com;KOiQhtycXn;78088-455;Rua Quatrocentos e Dezesseis;860;Tijucal;Cuiaba;MT;(65) 2760-0042;(65) 98415-2192;1,63;100;B+;roxo
Leonardo Victor Raimundo Porto;66;119.871.299-62;16.120.683-9;12/05/1958;Masculino;Touro;Simone Marcela Rita;Edson Ryan Sergio Porto;leonardovictorporto@marramoncks.com.br;QjZEGM42Tz;57305-304;Rua Manoel Caetano de Farias;286;Manoel Teles;Arapiraca;AL;(82) 2785-5514;(82) 99516-4289;1,82;100;B+;laranja
Levi Caleb Nathan Pinto;71;077.943.976-77;46.934.719-3;21/05/1953;Masculino;Gemeos;Liz Carolina;Mateus Sergio Pinto;levi.caleb.pinto@lbrazil.com.br;ahYj1bfPBE;75083-365;Rua Brasil;501;Vila Santa Isabel;Anapolis;GO;(62) 2610-8193;(62) 99986-5391;1,97;54;AB-;laranja
Liz Aline da Conceicao;42;576.799.993-76;43.545.331-2;06/08/1982;Feminino;Leao;Leticia Olivia Alana;Anderson Yago Thales da Conceicao;liz_daconceicao@santosferreira.adv.br;6n01Yb2TCf;69915-852;Rua Projetada 980;527;Portal da Amazonia;Rio Branco;AC;(68) 3683-7336;(68) 99717-6348;1,52;68;B+;preto
Liz Lavinia Gabrielly Almada;47;173.046.364-91;33.113.761-6;10/08/1977;Feminino;Leao;Rayssa Ayla;Raul Jose Bernardo Almada;liz.lavinia.almada@cenia.com.br;HCS98AK9zg;35050-400;Rua G;855;Park da Fraternidade;Governador Valadares;MG;(33) 3646-0249;(33) 99417-0517;1,78;85;O+;vermelho
Lorena Tatiane Lorena Assis;42;328.655.994-69;41.192.660-3;20/04/1982;Feminino;aries;Bruna Renata Camila;Bernardo Pietro Rafael Assis;lorena-assis79@fk1.com.br;UWsalHi01W;66643-460;Passagem Primeiro de Maio;310;Sao Clemente;Belem;PA;(91) 2663-1094;(91) 99957-8338;1,52;77;AB-;amarelo
Louise Alice Mariana Fogaca;23;438.900.213-95;33.100.810-5;04/07/2001;Feminino;Cancer;Antonia Emilly;Fabio Vicente Fogaca;louise-fogaca99@carlosalbertoleite.com.br;kpcGBQCuUE;58407-425;Rua Dom Bosco;343;Jose Pinheiro;Campina Grande;PB;(83) 2579-3709;(83) 99320-2758;1,66;77;A+;roxo
Louise Aparecida Patricia da Costa;55;126.691.526-51;43.222.233-9;26/01/1969;Feminino;Aquario;Lorena Caroline;Guilherme Felipe Raimundo da Costa;louise.aparecida.dacosta@sunrise.com.br;9zt53Drafs;91785-330;Avenida do Lami;387;Lageado;Porto Alegre;RS;(51) 2729-6235;(51) 99176-3606;1,83;48;AB+;vermelho
Louise Eliane Carolina Pereira;50;755.199.723-70;39.416.227-4;15/05/1974;Feminino;Touro;Malu Alessandra Giovanna;Antonio Otavio Henrique Pereira;louise.eliane.pereira@cebrace.com.br;QxDx4iMfyI;69317-522;Rua Marte;179;Cidade Satelite;Boa Vista;RR;(95) 3555-0097;(95) 98526-5285;1,74;70;A-;amarelo
Louise Emily Simone Ribeiro;20;749.788.235-01;30.191.769-3;01/06/2004;Feminino;Gemeos;Helena Caroline;Filipe Joaquim Luiz Ribeiro;louise.emily.ribeiro@mtic.net.br;mSoC1qbljc;77023-585;Quadra 1006 Sul Alameda 14;350;Plano Diretor Sul;Palmas;TO;(63) 2503-1541;(63) 98667-0399;1,77;69;AB-;laranja
Louise Manuela Araujo;47;632.124.206-34;35.564.260-8;08/10/1977;Feminino;Libra;Patricia Camila Helena;Yuri Ruan Igor Araujo;louise.manuela.araujo@pozzer.net;S8Srag3gQY;76873-818;Avenida Machadinho;754;Setor 11;Ariquemes;RO;(69) 3872-5696;(69) 99274-9692;1,5;84;A-;preto
Luan Luan Teixeira;44;581.262.865-39;23.391.849-8;24/05/1980;Masculino;Gemeos;Sophie Aline Cecilia;Raul Jose Teixeira;luan.luan.teixeira@yahoo.com;8KK0BMuywZ;79037-884;Estrada EW 15;965;Chacara dos Poderes;Campo Grande;MS;(67) 2828-2476;(67) 98728-7835;1,8;102;A+;laranja
Lucca Caio Jesus;35;074.897.548-95;30.383.685-4;22/08/1989;Masculino;Leao;Catarina Fabiana;Joao Arthur Vicente Jesus;lucca.caio.jesus@saa.com.br;1I4A4LkDWA;69911-776;Rua 20 de Novembro;429;Boa Uniao;Rio Branco;AC;(68) 2695-7188;(68) 99474-6237;1,61;54;B-;roxo
Lucca Joao Bruno da Mata;59;005.868.422-09;25.519.315-4;06/08/1965;Masculino;Leao;Allana Rayssa;Igor Kevin da Mata;lucca.joao.damata@prudential.com;Xdnb0rst1c;68513-821;Rua Maranhao;922;Sao Felix III;Maraba;PA;(94) 3808-5957;(94) 99926-0694;1,81;99;B-;azul
Lucca Juan Aparicio;68;680.321.473-73;41.243.603-6;07/10/1956;Masculino;Libra;Andreia Marcela Fabiana;Henrique Otavio Caleb Aparicio;lucca_juan_aparicio@hotmmail.com;NIflmKocOS;90250-780;Rua Monsenhor Arthur Wickert;348;Farrapos;Porto Alegre;RS;(51) 3722-9493;(51) 99664-4861;1,83;108;AB+;verde
Lucca Sebastiao Roberto Lima;36;806.065.949-90;50.778.672-5;07/08/1988;Masculino;Leao;Patricia Lucia;Benedito Gustavo Gustavo Lima;lucca-lima80@hotmmail.com;5L4W00xpNk;64213-246;Quadra C4;536;Primavera;Parnaiba;PI;(86) 2613-3940;(86) 99794-9775;1,9;68;B-;amarelo
Lucia Giovana Luzia Freitas;24;483.821.139-23;11.715.639-5;02/03/2000;Feminino;Peixes;Milena Allana;Nelson Cesar Freitas;lucia-freitas82@unipsicotaubate.com.br;w4gqL7lrZR;76901-022;Rua Goncalves Dias;770;Jardim Presidencial;Ji-Parana;RO;(69) 2715-5162;(69) 98651-7435;1,76;64;AB+;vermelho
Lucia Mariah Valentina Alves;35;188.994.877-23;14.741.950-5;05/04/1989;Feminino;aries;Luzia Bruna Emanuelly;Caio Miguel Alves;lucia_mariah_alves@reginfo.com.br;tgUGU1E7iW;69307-337;Rua Arieira;417;Paraviana;Boa Vista;RR;(95) 3553-5075;(95) 98292-3902;1,82;90;B+;vermelho
Luciana Sophie Gabrielly Carvalho;30;377.695.797-24;26.528.951-8;19/01/1994;Feminino;Capricornio;Francisca Eliane Marli;Joaquim Renato Pedro Carvalho;luciana_carvalho@hitmail.com;f74kr0yiAZ;69919-009;Rua Tutoia do Maranhao;586;Loteamento Isaura Parente;Rio Branco;AC;(68) 2828-8448;(68) 99841-8191;1,79;84;A+;vermelho
Luis Andre Benedito da Mata;26;277.197.294-80;28.725.991-2;06/01/1998;Masculino;Capricornio;Isabel Sophia Alice;Luis Felipe Nelson da Mata;luisandredamata@muricy.com;p1KRgpE7gl;70236-400;Quadra EQS 402/403;597;Asa Sul;Brasilia;DF;(61) 3604-8586;(61) 99765-3805;1,86;80;A-;roxo
Luis Rafael Jesus;55;206.630.422-08;27.705.306-7;14/05/1969;Masculino;Touro;Betina Kamilly;Emanuel Yuri Calebe Jesus;luis-jesus71@cosma.com;j0KJe8HLMy;78095-608;Rua Quarenta e Quatro;979;Real Parque;Cuiaba;MT;(65) 2915-1981;(65) 99886-4216;1,95;106;A+;preto
Luis Samuel Severino Corte Real;73;544.540.374-26;11.280.509-7;21/02/1951;Masculino;Peixes;Sophia Mariane Esther;Giovanni Gustavo Corte Real;luis_cortereal@w3ag.com;unK1dpZSFa;33860-330;Rua Doutor Marcio Felix de Freitas;539;Santa Martinha;Ribeirao das Neves;MG;(31) 3969-8251;(31) 98325-4891;1,87;86;A+;azul
Luna Benedita Gomes;64;070.642.617-74;22.005.757-6;27/02/1960;Feminino;Peixes;Mariana Julia;Tiago Kaue Erick Gomes;luna_benedita_gomes@girocenter.com.br;a1jgcTaAGg;68911-155;Passagem Dona Marcia;563;Fazendinha;Macapa;AP;(96) 2508-7236;(96) 98771-0388;1,61;80;AB-;verde
Malu Fabiana Sophie Pires;64;997.153.800-85;40.409.162-3;11/05/1960;Feminino;Touro;Mariana Aparecida Mariana;Benedito Renato Isaac Pires;malufabianapires@multmed.com.br;x99obIyDlb;58040-670;Rua Cardeal Jaime Camara;658;Expedicionarios;Joao Pessoa;PB;(83) 2600-5275;(83) 98352-1468;1,53;52;A-;laranja
Manuel Elias Almada;43;376.604.102-96;29.369.548-9;14/09/1981;Masculino;Virgem;Heloisa Beatriz;Severino Joaquim Victor Almada;manuel_elias_almada@econe.com.br;adMtuPmWgp;88805-055;Rua Deoclesio Pereira Maciel;988;Pinheirinho;Criciuma;SC;(48) 2846-0891;(48) 98311-6844;1,75;88;A+;vermelho
Manuel Leandro Breno Porto;26;196.972.173-19;31.327.645-6;04/05/1998;Masculino;Touro;Rayssa Elisa;Antonio Hugo Lucca Porto;manuel-porto70@rodrigofranco.com;7ywM6KYN1b;58326-970;Rua Salomao Veloso 51;296;Centro;Caapora;PB;(83) 3529-3549;(83) 99578-3745;1,89;84;AB+;preto
Manuel Mario Roberto Galvao;27;347.434.958-90;33.128.476-5;14/03/1997;Masculino;Peixes;Rosangela Gabrielly;Joao Thales Galvao;manuelmariogalvao@aprimor.com;bClsjcJyiz;65085-270;Travessa Doutor Salomao;387;Anjo da Guarda;Sao Luis;MA;(98) 3984-0364;(98) 98474-0747;1,74;102;A+;vermelho
Manuel Nathan Ryan Moreira;39;617.843.194-57;20.938.457-8;27/02/1985;Masculino;Peixes;Elisa Aurora;Jose Thiago Moreira;manuel.nathan.moreira@marsans.com.br;joxLSpDZCB;79070-534;Rua Parauna;514;Porto Galo;Campo Grande;MS;(67) 2694-9403;(67) 98173-4953;1,78;87;B-;azul
Manuel Raimundo Barros;28;400.636.129-76;21.893.925-5;14/02/1996;Masculino;Aquario;Tania Alicia;Geraldo Jose Barros;manuel.raimundo.barros@tirantea.com.br;O0b650TOt2;69098-058;Rua Margareth Mee;918;Novo Aleixo;Manaus;AM;(92) 2779-4524;(92) 99587-5610;1,79;96;B+;azul
Manuela Emily da Cunha;59;731.371.291-09;47.689.869-9;27/06/1965;Feminino;Cancer;Aline Claudia Fatima;Claudio Henrique Diogo da Cunha;manuela_dacunha@carolpessoa.com.br;LiJRGuzU18;72915-558;Quadra QA 27;105;Mansoes Olinda;aguas Lindas de Goias;GO;(61) 3631-3446;(61) 99510-0504;1,66;64;O-;verde
Marcela Emily de Paula;30;330.531.820-17;29.999.517-3;01/09/1994;Feminino;Virgem;Emily Larissa;Manuel Caua de Paula;marcelaemilydepaula@br.loreal.com;kws7fPMr0J;66117-005;Rodovia Artur Bernardes;862;Barreiro;Belem;PA;(91) 3739-2548;(91) 98324-2182;1,56;89;A+;preto
Marcela Heloisa Moreira;33;827.102.118-40;24.887.443-3;06/06/1991;Feminino;Gemeos;Beatriz Andreia;Carlos Eduardo Mateus Moreira;marcela_moreira@india.com;f4bnrmRZh1;69068-740;Rua Danilo Correa;102;Raiz;Manaus;AM;(92) 3793-8834;(92) 98962-8361;1,6;86;AB+;vermelho
Marcelo Antonio Victor Almada;25;795.851.468-94;12.357.561-8;16/08/1999;Masculino;Leao;Sophia Marcia Julia;Diego Raul Almada;marcelo_antonio_almada@zepto.com.br;zw2h7XRT9A;68909-512;Rua Santo Antonio;412;Bone Azul;Macapa;AP;(96) 3751-2193;(96) 99959-2643;1,61;65;O-;amarelo
Marcelo Caleb Gomes;31;417.549.688-21;31.646.130-1;02/03/1993;Masculino;Peixes;Aparecida Simone;Isaac Caleb Gomes;marcelo-gomes84@startingfitness.com.br;ZJC2dQutgo;69314-122;Rua Pescada;279;Santa Tereza;Boa Vista;RR;(95) 3762-1524;(95) 98204-6046;1,69;109;A-;azul
Marcelo Gabriel Osvaldo Aragao;38;557.853.448-15;12.317.026-6;19/08/1986;Masculino;Leao;Stella Giovana;Ricardo Tiago Aragao;marcelogabrielaragao@gmai.com;zUmm08Nq6c;40420-060;Rua Vinte e Cinco de Dezembro da Ribeira;719;Ribeira;Salvador;BA;(71) 2744-2813;(71) 99591-8647;1,75;52;O-;vermelho
Marcelo Hugo da Costa;35;820.109.757-23;24.482.432-0;10/03/1989;Masculino;Peixes;Sara Mirella Yasmin;Davi Felipe da Costa;marcelo_hugo_dacosta@cmfcequipamentos.com.br;SpCFOIT3Xw;41195-495;Travessa Sao Lucas;252;Barreiras;Salvador;BA;(71) 2854-7101;(71) 98701-0234;1,76;90;A+;laranja
Marcia Alana Moraes;28;199.421.743-03;45.724.747-2;04/10/1996;Feminino;Libra;Mariana Mirella;Ryan Luan Geraldo Moraes;marcia_moraes@mktec.com.br;LMIYKaCzuo;69317-364;Avenida Jesualdo Costa Lima;628;Equatorial;Boa Vista;RR;(95) 2634-3720;(95) 99712-2145;1,68;60;B-;vermelho
Marcia Leticia Pereira;31;193.467.911-95;14.427.385-8;18/08/1993;Feminino;Leao;Lais Josefa Nina;Augusto Francisco Sergio Pereira;marcia_pereira@slb.com;3pfenQiwHb;91740-000;Avenida da Cavalhada;982;Cavalhada;Porto Alegre;RS;(51) 2650-8518;(51) 99711-8385;1,53;67;O-;vermelho
Marcos Kevin Fabio Nascimento;54;816.037.082-27;33.843.289-9;02/10/1970;Masculino;Libra;Carolina Manuela Lorena;Cesar Nathan Emanuel Nascimento;marcos_kevin_nascimento@ladder.com.br;n9YwbhyoHC;79840-410;Rua Docelina Mattos Freitas;445;Parque Nova Dourados;Dourados;MS;(67) 2963-4271;(67) 99181-7093;1,89;50;AB-;verde
Marcos Vinicius Carlos Peixoto;39;413.889.808-51;23.261.886-0;15/06/1985;Masculino;Gemeos;Antonia Elisa Alessandra;Murilo Ricardo Peixoto;marcos.vinicius.peixoto@edwardmaluf.com.br;5hNNUg6Hkm;79044-721;Rua Barra do Guarita;849;Parque Atlantico;Campo Grande;MS;(67) 3747-6332;(67) 98982-5290;1,82;53;B-;azul
Marcos Vinicius Raul Thomas Aparicio;30;433.384.020-15;47.665.381-2;10/04/1994;Masculino;aries;Nair Kamilly;Nicolas Marcos Vinicius Aparicio;marcos_aparicio@mesquita.not.br;ax4IFmlzXt;65070-035;Condominio Colina das Palmeiras;435;Recanto dos Vinhais;Sao Luis;MA;(98) 3921-6926;(98) 99236-8003;1,73;99;AB-;vermelho
Maria Alana da Costa;77;144.352.408-58;46.737.808-3;06/05/1947;Feminino;Touro;Andrea Rita;Bento Giovanni da Costa;maria.alana.dacosta@ahlstrom.com;AJpQOrpKds;69317-480;Alameda Antares;386;Cidade Satelite;Boa Vista;RR;(95) 2843-8155;(95) 99558-3188;1,59;57;A-;verde
Mariah Isis Liz Carvalho;41;656.336.886-78;24.087.959-4;19/01/1983;Feminino;Capricornio;Jaqueline Carolina;Jorge Murilo Carvalho;mariah_isis_carvalho@guiamaritimo.com.br;WlwGfRAjLp;76967-654;Rua Santo Amaro;429;Industrial;Cacoal;RO;(69) 2957-0648;(69) 99384-3909;1,66;52;B-;vermelho
Mariana Agatha Brenda Aragao;76;816.503.257-70;41.909.456-8;21/09/1948;Feminino;Virgem;Rosa Valentina Stefany;Carlos Kaique Yago Aragao;mariana.agatha.aragao@ggm.com.br;5juItWSSNh;16012-653;Rua Helio Cofacci;751;Conjunto Residencial Toyokazu Kawata;Aracatuba;SP;(18) 3760-6953;(18) 98622-6656;1,79;84;AB-;azul
Marina Milena Vitoria Ramos;57;930.705.791-59;42.847.126-2;22/08/1967;Feminino;Leao;Sarah Emily;Renan Enzo Ramos;marinamilenaramos@midiasim.com.br;yU9LFydAQw;69915-844;Rua Projetada 524;895;Portal da Amazonia;Rio Branco;AC;(68) 3610-3898;(68) 98804-2751;1,72;68;O+;preto
Marlene Marlene Carolina Campos;20;141.051.985-64;40.422.671-1;05/08/2004;Feminino;Leao;Camila Raimunda;Tomas Manoel Nathan Campos;marlene_campos@poligerma.com.br;Xcq3fx09hH;86082-099;Rua Antonio Carlos Ranea;485;Jardim Paris;Londrina;PR;(43) 3700-4676;(43) 98787-7891;1,8;64;AB-;vermelho
Marlene Raquel Esther Rocha;55;279.307.097-10;14.779.023-2;13/09/1969;Feminino;Virgem;Andrea Sueli;Felipe Osvaldo Rocha;marlene.raquel.rocha@r7.com;Kx0HWqgEMB;79045-130;Rua Pinheiro Machado;791;Jardim Noroeste;Campo Grande;MS;(67) 2945-8351;(67) 99582-9911;1,76;52;A+;laranja
Marli Jennifer Melo;53;380.074.234-94;47.088.256-6;05/09/1971;Feminino;Virgem;Isabella Vanessa Emanuelly;Kaue Noah Osvaldo Melo;marli.jennifer.melo@cteep.com.br;tNqbSGnZ0r;68927-069;Travessa Senador Teotonio Vilela;210;Remedios;Santana;AP;(96) 3871-0454;(96) 99360-8288;1,62;45;AB+;laranja
Marli Priscila Nicole Oliveira;68;105.679.785-16;42.091.942-9;05/08/1956;Feminino;Leao;Silvana Sandra;Anthony Bento Eduardo Oliveira;marlipriscilaoliveira@slb.com;t6nLiebPGF;69915-290;Rua Porto Acre;196;Conjunto Habitacional Vila Betel 2;Rio Branco;AC;(68) 2588-5769;(68) 98529-0959;1,74;60;B+;verde
Martin Arthur Castro;62;812.552.022-89;26.596.925-6;07/04/1962;Masculino;aries;Luciana Raquel Caroline;Bernardo Oliver Daniel Castro;martinarthurcastro@mcpsolucoesgraficas.com.br;E9tiQeo5Rq;78091-152;Rua Sao Joao;150;Santa Laura;Cuiaba;MT;(65) 2807-2363;(65) 99231-1412;1,72;79;AB+;azul
Mateus Caio Melo;36;811.287.678-99;50.953.751-0;03/10/1988;Masculino;Libra;Lucia Rayssa;Yago Gabriel Benicio Melo;mateus.caio.melo@prodam.am.gov.br;hy6hOeqIpy;49007-190;Recanto Santo Antonio;602;Zona de Expansao (Areia Branca);Aracaju;SE;(79) 3692-9407;(79) 98546-7905;1,66;102;A+;vermelho
Matheus Anthony Dias;67;117.572.148-44;14.946.399-6;01/01/1957;Masculino;Capricornio;Marina Fernanda;Henry Breno Dias;matheus-dias82@iq.unesp.br;nztA4pZt2Q;57063-231;Alameda C7;772;Santa Amelia;Maceio;AL;(82) 3796-7704;(82) 98365-4027;1,91;65;B-;vermelho
Miguel Bernardo Juan Monteiro;25;898.096.977-59;36.320.861-6;15/08/1999;Masculino;Leao;Mariane Daiane;Caue Francisco Raul Monteiro;miguel_bernardo_monteiro@onset.com.br;LmoTPA4WxZ;73751-436;Quadra Quadra 136;510;Setor Aeroporto (Barrolandia);Planaltina;GO;(61) 3654-7536;(61) 98792-6152;1,96;77;B-;vermelho
Miguel Tiago Lopes;70;887.876.292-08;14.349.803-4;14/05/1954;Masculino;Touro;Catarina Eloa Daiane;Arthur Fabio Lopes;miguel_tiago_lopes@aguabr.com.br;O4nZ3J0fcb;83608-322;Rua Francisco Mika;694;Vila Dom Pedro;Campo Largo;PR;(41) 2681-2680;(41) 98146-9780;1,69;84;B-;verde
Mirella Rosa Brenda Rodrigues;63;274.953.582-46;17.848.831-8;10/07/1961;Feminino;Cancer;Catarina Sonia Aline;Antonio Lucas Ian Rodrigues;mirella_rosa_rodrigues@hotmal.com;fH6zkMyuHz;07144-515;Rua Tom Jobim;335;Recreio Sao Jorge;Guarulhos;SP;(11) 2836-7976;(11) 99404-5659;1,73;59;B+;vermelho
Natalia Sarah Alves;35;450.526.789-08;14.038.046-2;09/07/1989;Feminino;Cancer;Antonia Sophia;Leandro Leonardo Nelson Alves;natalia.sarah.alves@grupoitamaraty.com.br;2DxkhromIo;69073-021;Beco do Cruzeiro;834;Betania;Manaus;AM;(92) 3682-8821;(92) 98301-2858;1,52;76;O+;amarelo
Nathan Carlos Eduardo Mateus da Cunha;79;945.072.410-57;49.757.809-8;08/01/1945;Masculino;Capricornio;Aurora Yasmin;Carlos Eduardo Rodrigo da Cunha;nathan_dacunha@temavonfeccaosjc.com.br;yk7yuEeBlQ;57086-266;Quadra N-1;798;Benedito Bentes;Maceio;AL;(82) 2998-1606;(82) 99429-6525;1,69;109;A+;amarelo
Nathan Guilherme Freitas;42;562.059.403-37;34.297.474-9;14/05/1982;Masculino;Touro;Jennifer Giovanna Maya;Leandro Carlos Freitas;nathanguilhermefreitas@santosferreira.abv.br;qNM3fW7fIa;66073-630;Passagem Novo Horizonte;101;Guama;Belem;PA;(91) 3776-2340;(91) 99755-6911;1,88;102;A+;vermelho
Nathan Oliver Igor Alves;78;934.449.286-70;20.693.876-7;25/01/1946;Masculino;Aquario;Sonia Andrea Luana;Pedro Renato Manoel Alves;nathan_alves@solpro.biz;Hl2lYR7dgf;76901-650;Rua Diamante Negro;982;Milao;Ji-Parana;RO;(69) 2893-3410;(69) 98904-5928;1,65;96;B-;azul
Nelson Antonio Goncalves;66;316.411.775-27;12.979.636-0;18/07/1958;Masculino;Cancer;Carla Ana Jessica;Roberto Kevin Goncalves;nelson-goncalves75@mcexecutiva.com.br;j1cXKr1AQa;93334-040;Rua Pau Brasil;290;Ideal;Novo Hamburgo;RS;(51) 2541-9792;(51) 98433-7130;1,88;72;O-;vermelho
Nelson Nathan Manuel Almeida;67;297.705.972-52;27.698.955-7;01/03/1957;Masculino;Peixes;Isabelly Jaqueline;Tomas Paulo Almeida;nelson-almeida84@aguabr.com.br;bQ2wAdkUKw;68907-140;Rua Platao;822;Renascer;Macapa;AP;(96) 2686-4368;(96) 99812-9178;1,8;60;AB-;amarelo
Nicolas Daniel Ferreira;47;373.949.048-90;14.117.731-7;07/04/1977;Masculino;aries;Emily Ayla Rebeca;Ruan Enrico Sebastiao Ferreira;nicolas-ferreira96@hardquality.com.br;Rm2Q0ZM76A;49061-112;Rua Vinte e Oito;683;Santo Antonio;Aracaju;SE;(79) 2781-8393;(79) 98460-6744;1,65;73;AB+;laranja
Nicolas Jose Rodrigues;58;616.286.296-81;17.389.545-1;24/03/1966;Masculino;aries;Rosa Marcela;Thomas Nicolas Rodrigues;nicolasjoserodrigues@ruilacos.com.br;Adgsas5GF2;69921-166;Rua Buriti;703;Conjunto Adalberto Sena;Rio Branco;AC;(68) 3710-5126;(68) 99427-0720;1,7;86;A-;roxo
Nicolas Levi Pedro Nunes;31;969.817.777-97;15.017.359-3;26/01/1993;Masculino;Aquario;Francisca Marlene Sebastiana;Leonardo Tomas Nunes;nicolas_levi_nunes@sicredi.com.br;u6XOQqINTR;88090-593;Travessa Sao Benedito;106;Monte Cristo;Florianopolis;SC;(48) 2746-2887;(48) 98238-1718;1,81;99;A-;vermelho
Nicole Josefa Gabrielly da Silva;59;920.251.642-11;49.901.377-3;19/04/1965;Feminino;aries;Sonia Sophia Isis;Davi Roberto da Silva;nicole_dasilva@grupoaguaviva.com.br;24FagAfeO2;21921-100;Rua Almirante Pestana;347;Cacuia;Rio de Janeiro;RJ;(21) 2730-7996;(21) 98479-2854;1,61;53;O+;vermelho
Nina Natalia Maya Gomes;71;863.050.550-84;15.899.684-7;27/07/1953;Feminino;Leao;Alicia Ayla;Marcos Felipe Gomes;nina_gomes@galvao.com;OJ3IrXjf1l;49072-573;Rua A;261;Dezoito do Forte;Aracaju;SE;(79) 3864-4347;(79) 98591-2658;1,65;53;AB+;roxo
Noah Edson Souza;78;341.550.376-37;32.838.010-6;05/03/1946;Masculino;Peixes;Olivia Simone Bruna;Benedito Lucca Bento Souza;noah_souza@somma.net.br;m6yCBJYfwB;69912-032;Travessa Liberdade;799;Sobral;Rio Branco;AC;(68) 2586-7369;(68) 99318-2336;1,81;102;O-;vermelho
Noah Julio Enzo Brito;60;373.588.727-97;43.367.785-5;13/06/1964;Masculino;Gemeos;Louise Cristiane;Otavio Benedito Brito;noah-brito93@seal.com.br;BK3e0T3Bsq;35900-195;Rua Sebastiao Calixto da Mata;911;Vila Sao Geraldo;Itabira;MG;(31) 3847-7241;(31) 98617-5996;1,87;110;O+;roxo
Noah Nicolas Thiago Moura;18;617.439.060-80;34.173.765-3;27/06/2006;Masculino;Cancer;Olivia Marli Natalia;Mario Alexandre Moura;noah_nicolas_moura@ferplast.com.br;xM47iqaCyS;65065-740;Rua Sete;924;Solar dos Lusitanos;Sao Luis;MA;(98) 3823-9389;(98) 99802-4240;1,79;101;B+;amarelo
Noah Paulo Otavio da Cruz;78;502.703.873-90;32.618.767-4;06/03/1946;Masculino;Peixes;Tatiane Ayla;Pietro Vitor Luis da Cruz;noahpaulodacruz@emayl.com;P2ZHX18djn;64008-130;Rua Sao Jose;715;Alto Alegre;Teresina;PI;(86) 2628-2891;(86) 98874-1010;1,67;91;B-;verde
